image_path,direction,speed_level,record,time_in_ms,n_control
DataSet/#Record_2025-07-02_09-46-48/Images/1751442716724.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442716724,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442721231.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442721231,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442724232.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442724232,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442725056.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442725056,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442725197.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442725197,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442725940.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442725940,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442728192.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442728192,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442728302.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442728302,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442730078.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442730078,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442730161.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442730161,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442733354.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442733354,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442734340.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442734340,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442734531.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442734531,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442734626.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442734626,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442735084.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442735084,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442735291.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442735291,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442735677.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442735677,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442735761.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442735761,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442737370.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442737370,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442739262.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442739262,0
DataSet/#Record_2025-07-02_09-46-48/Images/1751442740284.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442740284,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442741676.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442741676,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442742131.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442742131,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442743472.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442743472,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442744175.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442744175,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442747347.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442747347,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442747700.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442747700,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442748356.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442748356,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442748438.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442748438,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442749065.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442749065,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442749157.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442749157,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442749263.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442749263,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442749399.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442749399,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442749485.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442749485,1
DataSet/#Record_2025-07-02_09-46-48/Images/1751442750345.png,Left,Medium,#Record_2025-07-02_09-46-48,1751442750345,2
DataSet/#Record_2025-07-02_09-46-48/Images/1751442751629.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442751629,3
DataSet/#Record_2025-07-02_09-46-48/Images/1751442751640.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442751640,3
DataSet/#Record_2025-07-02_09-46-48/Images/1751442751652.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442751652,3
DataSet/#Record_2025-07-02_09-46-48/Images/1751442751664.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442751664,3
DataSet/#Record_2025-07-02_09-46-48/Images/1751442751675.png,Forward,Medium,#Record_2025-07-02_09-46-48,1751442751675,3
